name	population	geometry
Beirut	1712125	POINT (35.50776235137766 33.8739209756269)
Tbilisi	1005257	POINT (44.78884959099798 41.72695584707759)
Astana	325021	POINT (71.427774209483 51.18112530425759)
Vientiane	570348	POINT (102.5999800201548 17.96669272762739)
Brazzaville	1163890	POINT (15.28274363384867 -4.257239913197509)
Conakry	1494000	POINT (-13.68218088612394 9.533468705021789)
Yamoussoukro	194530	POINT (-5.275502564912301 6.818380960004617)
Ottawa	812129	POINT (-75.70196115980951 45.41864265536043)
Belgrade	1099000	POINT (20.46604482202054 44.82059130444674)
Bandar Seri Begawan	140000	POINT (114.9332840566623 4.883331114619239)
Sucre	221736	POINT (-65.25951562667564 -19.04097084673947)
Belmopan	13381	POINT (-88.76707299981655 17.25203350724689)
Bangui	622771	POINT (18.55828812528728 4.366644306349087)
Yaounde	1060587	POINT (11.51470489685443 3.868646520754112)
Tirana	421286	POINT (19.81888301461521 41.32754070949159)
Yerevan	1093485	POINT (44.51160553175208 40.18309659414189)
Baku	1892000	POINT (49.86027130325778 40.39721789134302)
Phnom Penh	1466000	POINT (104.9146886211864 11.55197598855841)
La Paz	812799	POINT (-68.15193104910219 -16.49602775504337)
Cotonou	690584	POINT (2.518044740568598 6.401954422782467)
Sofia	874827	POINT (23.31470815211009 42.68529528393054)
Minsk	1577138	POINT (27.56468129665825 53.9019232950431)
Thimphu	79185	POINT (89.63901403702999 27.47298585917576)
Gaborone	159243	POINT (25.91194779328538 -24.64631345743891)
Canberra	234032	POINT (149.1290262442992 -35.28302854537208)
Ouagadougou	835457	POINT (-1.526669614916443 12.37226183654337)
Sarajevo	628902	POINT (18.38300166695331 43.85002239895493)
Naypyidaw	194824	POINT (96.11667267063035 19.76850288475015)
Nukualofa	23658	POINT (-175.2205644776166 -21.13851235669864)
Hargeysa	247018	POINT (44.06531001666542 9.56002239881775)
Victoria	22881	POINT (55.44998978559113 -4.6166316539734)
Sao Tome	56166	POINT (6.733325153234773 0.3334021188329075)
Apia	37708	POINT (-171.7386416086032 -13.84154504244844)
Valletta	6966	POINT (14.51471065131278 35.89973248193087)
Male	103693	POINT (73.499947467955 4.1667081898118)
Jerusalem	801000	POINT (35.20662593459866 31.7784078155733)
Praia	88859	POINT (-23.51668888497221 14.91669801732866)
Nassau	160966	POINT (-77.35004378427612 25.08339011535122)
Nicosia	200452	POINT (33.36663488641415 35.1666764516545)
Wellington	393400	POINT (174.7832658592819 -41.29998785369173)
Hanoi	1431270	POINT (105.8480683412422 21.03527310773705)
Ankara	3307379	POINT (32.86244578235664 39.92918444407547)
Budapest	1679000	POINT (19.08137481875968 47.50195218499135)
Sanaa	1835853	POINT (44.20464752393843 15.35667915426365)
Bucharest	1742194	POINT (26.0980007953504 44.43531766349457)
Damascus	2466000	POINT (36.29805003041707 33.50197985420613)
Lisbon	517802	POINT (-9.14681216410213 38.72466873648784)
Khartoum	1974647	POINT (32.53223338001158 15.59002408427767)
Oslo	580000	POINT (10.74803334737231 59.91863614500187)
Warsaw	1702139	POINT (20.99805369246531 52.25194648839556)
Pyongyang	2498797	POINT (125.7527448549939 39.02138455800434)
Dar es Salaam	2698652	POINT (39.26639597769457 -6.798066736124383)
Dublin	968976	POINT (-6.250851540391068 53.33500699458494)
Monrovia	785662	POINT (-10.79966043677592 6.314581647160139)
Kuala Lumpur	1448000	POINT (101.6980374167464 3.168611730712371)
Havana	1990917	POINT (-82.3661280299533 23.1339046995422)
Prague	2087	POINT (14.46403391704854 50.08528287347832)
Kuwait	60064	POINT (47.97635528762527 29.37166348862957)
Santo Domingo	2873	POINT (-69.90203094331503 18.47201871319538)
Accra	1963264	POINT (-0.2186615989606935 5.551980464445933)
Tripoli	229398	POINT (13.18001175807819 32.89250001935369)
Tel Aviv-Yafo	378358	POINT (34.76806589955174 32.08193733304165)
Helsinki	558457	POINT (24.93218048284558 60.17750923256807)
Kobenhavn	1085000	POINT (12.56153988870329 55.68051004902594)
Abidjan	3190395	POINT (-4.041994118507091 5.321942826098564)
Brasilia	2562963	POINT (-47.91799814700306 -15.78139437287899)
Brussels	1019022	POINT (4.33137074969045 50.83526293533032)
Dhaka	7000940	POINT (90.40663360810754 23.72500557031282)
Luanda	1951272	POINT (13.23248118266855 -8.836340255012658)
Algiers	1977663	POINT (3.048606670909237 36.76501065662814)
Rangoon	3301820	POINT (96.16473175266185 16.78529996318878)
San Francisco	732072	POINT (-122.4171687735522 37.76919562968743)
Denver	1548599	POINT (-104.9859618109682 39.7411339069655)
Houston	3647574	POINT (-95.34192514914599 29.82192024318886)
Miami	382894	POINT (-80.22605193945003 25.78955655502153)
Atlanta	422908	POINT (-84.40189524187565 33.83195971260585)
Chicago	2841952	POINT (-87.75200083270931 41.83193651927843)
Caracas	1815679	POINT (-66.91898305105042 10.50294441303333)
Kiev	1662508	POINT (30.51468211047217 50.43531318760722)
Dubai	1137347	POINT (55.27802846473787 25.23194201237607)
Tashkent	1978028	POINT (69.29298696088779 41.31364774160721)
Madrid	50437	POINT (-3.685297544612524 40.40197212311381)
Geneva	192385	POINT (6.140028034091699 46.21000754707626)
Stockholm	1253309	POINT (18.09538887418091 59.35270581286585)
Bangkok	5104476	POINT (100.5146987936949 13.75194506408798)
Lima	6758234	POINT (-77.05200795343472 -12.04606681752557)
Dakar	2476400	POINT (-17.47507598705056 14.71777758362327)
Johannesburg	2026469	POINT (28.02806386501948 -26.16809888138414)
Amsterdam	741636	POINT (4.914694317400972 52.35191454666443)
Casablanca	3144909	POINT (-7.618313291698712 33.60192207425848)
Seoul	9796000	POINT (126.9977851382019 37.56829495838895)
Manila	3077575	POINT (120.9802713035424 14.60610481344054)
Monterrey	1122874	POINT (-100.33193064233 25.67194099512528)
Berlin	3094014	POINT (13.39960276470055 52.52376452225116)
Urumqi	1508225	POINT (87.57305979624726 43.8069580850418)
Chengdu	3950437	POINT (104.0680736309487 30.6719458779578)
Osaka	2592413	POINT (135.4581989565952 34.75198107491417)
Kinshasa	5565703	POINT (15.31302602317174 -4.327778243275986)
